ecg,emgz,emg,eda
0.14587,0.011902,-0.053711,1.5012
0.1416,0.0088501,-0.036011,1.5015
0.14801,0.013123,-0.03418,1.5015
0.16479,0.013428,-0.036316,1.5012
0.17731,0.012512,-0.03418,1.5012
0.16327,0.0097656,-0.025024,1.5005
0.13458,-0.00061035,-0.0064087,1.5012
0.13306,-0.0091553,0.0018311,1.5015
0.1709,-0.020752,0.016479,1.5005
0.21393,-0.02533,0.027466,1.5012
0.23315,-0.013428,0.0354,1.5012
0.21729,-0.0088501,0.040283,1.5005
0.17517,-0.015869,0.028076,1.5012
0.15015,-0.014954,0.020142,1.5009
0.17487,-0.020447,0.023499,1.5009
0.22461,-0.016174,0.028076,1.5009
0.24933,-0.011597,-0.0030518,1.5002
0.23834,0.00030518,-0.032654,1.5002
0.20355,0.0091553,-0.055847,1.5005
0.15808,0.0061035,-0.063782,1.5002
0.12207,0.016479,-0.085144,1.5005
0.13,0.018311,-0.067749,1.5002
0.17334,0.02594,-0.072021,1.5005
0.22003,0.018921,-0.052795,1.5005
0.23956,0.013123,-0.031128,1.5005
0.22766,0.0088501,-0.0076294,1.4999
0.20935,0.0018311,0.0094604,1.5002
0.1944,-0.0015259,0.017395,1.5002
0.17517,-0.0061035,0.023193,1.5005
0.13641,-0.012207,0.02655,1.5005
0.097046,-0.023193,0.030823,1.5009
0.072327,-0.02533,0.03418,1.5002
0.068054,-0.029602,0.033569,1.5005
0.07843,-0.023193,0.017395,1.5009
0.08667,-0.019226,0.022583,1.5005
0.084534,-0.007019,0.0024414,1.4999
0.075684,-0.0048828,-0.014038,1.5005
0.057983,-0.0067139,-0.032654,1.4999
0.028687,-0.0024414,-0.055237,1.4996
0.0036621,0.0021362,-0.071411,1.5005
-0.00030518,0.0039673,-0.10773,1.5002
0.0021362,0.0073242,-0.075378,1.4999
-0.010681,0.0054932,-0.044861,1.4999
-0.033264,0.0018311,-0.024109,1.5002
-0.042725,0.0079346,0,1.5002
-0.027466,0.0045776,-0.0015259,1.4993
-0.0024414,-0.0064087,0.0018311,1.4993
0.0094604,-0.0021362,0.0012207,1.4999
0.00061035,-0.0088501,0.0018311,1.4999
-0.021667,-0.010986,0.0088501,1.4999
-0.033569,-0.0042725,0.01709,1.4999
-0.033264,-0.0021362,0.019531,1.4993
-0.033569,-0.016479,0.018005,1.4996
-0.026855,-0.012207,0.018311,1.4993
-0.010681,-0.010681,0.016785,1.499
-0.012817,-0.010681,-0.016479,1.4993
-0.038452,-0.0082397,-0.032349,1.5002
-0.068665,-0.0064087,-0.050049,1.4999
-0.1004,0.0015259,-0.059204,1.4996
-0.11475,0.0067139,-0.066528,1.499
-0.10376,0.013123,-0.057068,1.4993
-0.091553,0.0076294,-0.044556,1.4993
-0.074463,0.0057983,-0.024414,1.4987
-0.054626,0.0015259,-0.0061035,1.4993
-0.052185,0.0088501,-0.011902,1.4993
-0.070801,0.0091553,-0.016174,1.499
-0.088501,0,-0.0094604,1.4987
-0.079956,-0.0024414,0.0015259,1.4993
-0.04425,-0.011902,0.0079346,1.4993
-0.013733,-0.010986,0.026855,1.4993
0.00061035,-0.0076294,0.048218,1.4993
0.0042725,-0.012817,0.046692,1.4993
-0.0030518,-0.0091553,0.029602,1.4996
-0.032349,-0.0036621,0.019226,1.4987
-0.09491,-0.0057983,0.010071,1.4993
-0.16296,-0.0073242,-0.0042725,1.4981
-0.19897,-0.0042725,-0.0061035,1.4987
-0.17487,-0.00091553,-0.021973,1.499
-0.12177,0.0018311,-0.032043,1.4987
-0.090637,-0.0012207,-0.041504,1.4987
-0.11688,0.0042725,-0.054626,1.499
-0.16876,0.0067139,-0.05249,1.4981
-0.20294,0.0067139,-0.044861,1.4984
-0.20905,0.0054932,-0.041199,1.4984
-0.19531,0.0036621,-0.031738,1.499
-0.16418,0.0061035,-0.017395,1.4987
-0.11139,0.0076294,0.0042725,1.4984
-0.051575,0.0033569,0.022583,1.4984
-0.011597,-0.0030518,0.037537,1.4981
-0.013733,-0.0057983,0.037537,1.499
-0.03479,-0.011902,0.041809,1.499
-0.057373,-0.0094604,0.033264,1.499
-0.073853,-0.013428,0.031128,1.4984
-0.07019,-0.012207,0.022888,1.4984
-0.077209,-0.0012207,0.015869,1.4978
-0.10834,-0.007019,-0.0024414,1.4984
-0.13397,-0.0085449,-0.018005,1.4984
-0.15228,0.007019,-0.023193,1.4981
-0.16541,0.010986,-0.038452,1.4981
-0.17029,0.0088501,-0.036621,1.4981
-0.16754,0.011597,-0.046997,1.4981
-0.16357,0.019836,-0.057983,1.4984
-0.15778,0.016479,-0.054321,1.4981
-0.14252,0.017395,-0.047302,1.4984
-0.11505,0.019836,-0.036621,1.4981
-0.079346,0.0094604,-0.026855,1.4981
-0.066223,0.013428,-0.022583,1.4984
-0.061035,-0.0015259,-0.0030518,1.4987
-0.042114,-0.0033569,0.018005,1.4981
-0.029602,-0.0030518,0.027161,1.4981
-0.027771,-0.0061035,0.038147,1.4981
-0.018005,-0.00091553,0.040894,1.4975
-0.0079346,-0.0045776,0.043335,1.4981
-0.024719,0.0012207,0.039063,1.4978
-0.059814,-0.0015259,0.022583,1.4978
-0.085449,-0.0057983,0.007019,1.4975
-0.092468,-0.0015259,-0.018311,1.4978
-0.093994,0.0030518,-0.029297,1.4984
-0.12939,0.0079346,-0.035706,1.4978
-0.18188,0.007019,-0.044861,1.4978
-0.18616,0.0097656,-0.039978,1.4975
-0.13367,0.010681,-0.016174,1.4975
-0.054932,0.015869,-0.030823,1.4969
-0.0057983,0.011902,-0.059204,1.4978
-0.017395,0.007019,-0.08606,1.4972
-0.048523,-0.00030518,-0.047913,1.4972
-0.066223,0.0045776,-0.021973,1.4975
-0.071106,-0.00061035,0.0030518,1.4975
-0.069275,-0.0097656,0.036926,1.4972
-0.065002,-0.013428,0.025024,1.4975
-0.064697,-0.015564,0.034485,1.4975
-0.060425,-0.022278,0.030823,1.4969
-0.048523,-0.027771,0.022278,1.4975
-0.029297,-0.024414,0.020142,1.4969
-0.0061035,-0.014954,0.015259,1.4966
-0.0018311,-0.007019,-0.0054932,1.4972
-0.014648,-0.010986,-0.018005,1.4972
-0.039673,-0.0073242,-0.032349,1.4972
-0.076599,0.0021362,-0.046997,1.4969
-0.10925,-0.00091553,-0.058289,1.4972
-0.11871,0.0021362,-0.067139,1.4972
-0.099792,0.005188,-0.065613,1.4972
-0.070801,0.0045776,-0.05188,1.4966
-0.052185,-0.00091553,-0.037537,1.4969
-0.043335,0.0012207,-0.02594,1.4963
